label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Coat,0,1.4375,68.125,187,96.125,9,0,0,52.375,183.3125,210.5625,192.75,97.625,0,0,84.6875,188.0625,182.5625,190.125,131.0625,0,0,98.125,189.375,180.875,191.8125,154.9375,0,0,103.9375,168.4375,182.75,184.25,146.8125,0,0,71.75,143.5,166.25,169.0625,94.4375,0,0,14.0625,0.8125,0.3125,0.9375,21.5625,0
T-shirt/top,1.5625,37.6875,58.875,80.625,65.375,40.3125,2.75,23.25,72.6875,79,60.5625,94.5,60.875,24.875,13.25,47.0625,72.125,86.8125,77.3125,38.4375,16,0.0625,21.625,93.4375,54.25,107.25,5.625,0,0,16.625,114.75,103.375,100.875,9.5,0,0,18.875,69.125,66.8125,57.75,17.5,0.0625,0,19.125,79.9375,76.125,69.75,20.4375,0.0625
Ankle boot,0,0,0.625,66.375,74.75,64,6.25,0,0,1,192.5,222.3125,221.8125,41.5,0,0.0625,8.1875,220.6875,226.25,234.1875,113.625,0.0625,0.4375,88.3125,220.625,225.75,226.25,134.6875,0.6875,13.125,185.4375,216.1875,203.9375,201.9375,89.4375,128.3125,202.8125,207.9375,191.4375,23.3125,167.1875,55.625,12.1875,67.4375,83.875,21.5,0.4375,60.0625,14.5625
T-shirt/top,0.125,86.6875,186.0625,137.125,187.8125,90.875,0.0625,11.875,195.6875,190,197.625,192.9375,204,18.625,48.5625,189.5625,178.5625,173.375,185.875,194,50.8125,0.125,43.1875,179,183.75,189.375,50.125,0.125,0,44.6875,182.6875,180.375,190,50.3125,0,0,45.125,202.9375,203.8125,204.9375,57.75,0,0,50.625,201.3125,202.625,200.6875,75.3125,0
T-shirt/top,0,66.1875,160.5625,174.5625,143,50.8125,0.0625,0.375,180.5625,190.875,174.125,160.375,145.75,0,13.625,164,189.3125,157.75,140.25,152.875,9.625,0,0.25,190.5,155.8125,148.625,0.125,0,0,0.25,181.875,162.625,145.3125,0.1875,0,0,0.125,183.375,172.5,156.4375,0.25,0,0,0,173.5,183.9375,158.3125,0.1875,0
Shirt,0,10.9375,114.6875,205.125,105.375,6.375,0,0,141.4375,221,219.9375,221.9375,132.0625,0,0,179,227.1875,222.0625,227.0625,173.875,0,0,192.875,219.1875,222.8125,216.25,183.75,0,0,207.6875,192.5,224.125,187.1875,193.0625,0,0,176.5625,195.75,222.875,205.125,179.6875,0,0,123,147.25,190.6875,154.375,122.6875,0
Coat,0,25.875,157.125,182.3125,148.5625,17.25,0,0,131.4375,214.875,193.4375,221.9375,111.8125,0,0,176.4375,220.75,211.1875,217.1875,164.8125,0,0,191.75,194.3125,220.875,199.5,179.25,0,0,189.375,193.5,229.5,198.0625,168.25,0,0,202,187.875,198,186.1875,182.5625,0,0,109.875,1.25,1.125,1.5625,145.625,0
Shirt,0,20.5,120.3125,180.9375,127.8125,18.9375,0,0,172.375,222.5,217.125,220.8125,167.375,0,0,66.8125,226.25,227.3125,222.25,85.0625,0,0,13.75,226.875,228.8125,222.4375,56.0625,0,0,37.75,228,227.375,223.4375,59.9375,0,0,53.0625,227.5625,226.625,225.0625,71.3125,0,0,25.9375,173.0625,197.75,171.375,39.75,0
Ankle boot,0,0,0.375,30.25,24.5625,7.1875,42.9375,0,0,0.875,137.6875,193.1875,204.1875,101.3125,0,0,3.5,180.8125,190.5625,206.4375,127.1875,0.0625,0.125,61.875,192.625,197.0625,203.125,175.1875,0.5,8.25,140.6875,194.5625,205.9375,204.8125,159.875,78.1875,138.3125,182.375,200.75,84.75,138.3125,146.3125,96.625,152.125,168.3125,87.3125,1.5,114.875,109.4375
T-shirt/top,0.0625,24.625,76.25,117.8125,75,24.375,0,0.8125,67.0625,58.8125,55.625,55.125,45.75,0.3125,9.6875,81.4375,76.0625,77.8125,56.375,61.375,9.625,0,11.5,66,58.5,42.5625,5.5,0.0625,0,5.625,66.375,56.3125,45.375,1.6875,0,0,3.125,72.5625,76,55.6875,1.8125,0,0,0.6875,69.25,84.9375,53.375,1.3125,0
Coat,0,5.1875,61.3125,174.875,43.625,1.9375,0,0,79.875,103.8125,104.5,123.875,70.9375,0,0,107.8125,114.1875,117.875,111.625,93,0,0,120.6875,115.625,121.9375,114.6875,113.5,0,0,142.5,109.125,122.625,112.6875,130.4375,0,0,133.8125,152.5,120.6875,164.8125,109.1875,0,0,131.3125,0.5625,0.125,0.375,126.0625,0
Pullover,0,11.4375,36.6875,74.75,39.25,11.25,0,0,23.5625,31.0625,26.75,28.875,26.375,0,0,41.875,36.8125,39.1875,35.25,45.625,0.0625,0,62.3125,31.375,39.875,32.6875,55.4375,1.4375,0,51,37.8125,40.75,37.9375,48.5625,2.625,0,44.25,47.5625,46.875,44.875,43.4375,4.125,0,33.1875,2.9375,4.625,4.125,36,3.375
Sneaker,0,0,0,0,0,0,0,0,0,0,0.125,22,0.3125,0.5625,0,0,0.375,48.0625,177.5,119.375,89.25,17.75,46.5,105.875,183.625,230.3125,220.375,184,52.875,88,107.8125,118.6875,129,128.0625,113.5625,1,8.375,15.8125,17.75,16.625,18.6875,22.125,0,0,0,0,0,0,0
T-shirt/top,0,96,208.4375,207.8125,207.125,95.5625,0,0,219.75,223,183.1875,217.1875,222.4375,0,11.625,155.4375,128.0625,87.75,157.5,158.6875,14.125,0.0625,1.3125,78.125,38.75,76.9375,11.75,0.0625,0,0.5,216.5,204.375,233.0625,12.5,0,0,0.5625,234.9375,231.4375,234.5625,24.9375,0,0,0.375,169.5,170.5,169.9375,24,0
