label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Bag,0,0,0,0,0,0,0,20.4375,37.4375,29.625,31.1875,35.75,61.8125,19.25,127.3125,150.3125,143.875,137.9375,141,153.75,26.125,94.3125,163.875,161.75,162,164.4375,165.0625,0.5,97.75,171.4375,169.6875,168.25,166.5625,167.6875,0.5625,72.875,139.375,120.375,80.125,75.0625,70.6875,1.75,0,0,0,0,0,0,0
Ankle boot,0,0,0,0.1875,0.0625,4,3.125,0,0,29.375,154.9375,85.8125,149.6875,91.1875,0,0.1875,80.875,190.6875,198.5625,145,162.625,0,1.6875,146.3125,186.375,203.3125,182.5,167.375,53.25,67.3125,144.375,193.0625,124.625,104.0625,158.9375,146.5625,188,196.75,146.625,2.125,102.8125,152.8125,0,7.0625,26.8125,1.3125,0,12.6875,19.5625
Shirt,0.0625,8.5,55.8125,163.6875,90.6875,21.4375,0,0.0625,102.0625,153.5,149.4375,143.375,136.25,2.8125,1.1875,143.5,151.375,138.1875,129.5625,123.625,37.25,0.0625,1.0625,159.75,130.75,114.375,57.1875,0.1875,0,0,168.375,147.9375,142.5,41.875,0,0,0.75,139.1875,147.25,131.875,57.125,0,0,0.3125,82.6875,119.75,92.8125,13.0625,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,60.3125,53.9375,0.0625,30.9375,23.125,62.9375,111,126.75,161.125,135.5,171.5,74.9375,96.6875,122.4375,134.5,133.625,124.1875,117.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandal,0,0,0,0,0,0,0,0,0,0.0625,4.375,55.3125,102,48.5625,0,0,1.125,106.8125,83.625,77.8125,119.75,0,0.25,51.5,114.5,65.0625,141.625,143.6875,0.4375,10,96.75,154.4375,131.625,153.0625,136.375,37.625,66.5625,83.5,113.4375,10.1875,133.9375,128.5,0.4375,21.75,35.4375,3.0625,0.1875,32.5625,30.4375
Sandal,0,0,0,0,0,0,0,0,0,0.25,24.4375,45.875,32.0625,0.8125,0,0,0.3125,27,55.8125,191.6875,1.25,0,2.3125,0.1875,0.125,37.75,180.25,112.5,42.8125,171,13.75,77.9375,61.3125,129.1875,182.75,33.75,54.3125,62.75,6.8125,0.375,46.625,58.875,0,0,0,0,0,0,0
Ankle boot,0,0,0,0.75,0.25,0.375,15.6875,0,0,0.875,107.75,181.375,176.5625,95.5,0,0,1.0625,152.875,229.9375,232.5625,120.0625,0,0,38.5,231,233.8125,229.875,174.25,18.875,48.8125,192.3125,237.5,240.125,228.8125,188.5,194.875,223.6875,230.1875,231.375,93.875,214.5625,164.125,29.8125,110,138.5,71.4375,0.375,106.625,76.9375
Bag,0,0,0,0,0,0,0,12.0625,20.6875,10.9375,34.1875,14.4375,10.625,6.8125,102.1875,109.75,102,103.3125,115.625,127.75,173.1875,93.5,99.3125,98.0625,101.5625,109.1875,119.3125,158.5625,87.5625,89.5,94.3125,94.375,98.625,108.5,149.5,69.3125,90.1875,81.5625,51.8125,52.5,44.8125,51.4375,0,0,0,0,0,0,0
Coat,0,6.75,84.0625,231.1875,105.5,14.375,0,0,150.5625,223.5,222.9375,214.75,141.6875,0,0,187.0625,223.1875,224.4375,230.125,179.375,0,0,220.625,226.5625,225.8125,233.25,187.125,0,0,213.875,218,227.3125,222.75,206.6875,0,0,193.1875,230.625,227.1875,227.3125,196.5625,0,0,121.9375,112.8125,111.125,107.25,111.625,0
Shirt,0.0625,56.25,161.1875,146.5,157.375,124.3125,0.375,0,155.125,189.9375,185.625,184.0625,187.5,48.625,0.75,171.8125,198.75,185.1875,183.3125,188.8125,64.6875,0,1.1875,190.1875,185.1875,181.6875,85.125,0,0,0.3125,190.875,183.8125,182.6875,91.1875,0.125,0,12.1875,188.875,183.5625,182.0625,102.625,0.5625,0,30.375,162.6875,165.875,168.5,104.1875,0.875
Pullover,0,13.1875,110.6875,63.4375,82.125,36.5,0,0,81.25,229.75,229.0625,232.5,135.4375,0,0,120.6875,221,231.4375,233.375,181.125,0,0,147.9375,206.6875,231.625,231.625,185.0625,0,0,154.6875,164.125,196.4375,202.4375,188.375,0,0,149.8125,13.5,18.1875,16.625,157.4375,0,0,4,15.9375,24.5,21,5.3125,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0.0625,7.0625,0.0625,0.5,0.25,0.0625,0.1875,56.3125,150.5,119.6875,112.75,10.625,52.25,115.3125,119.9375,164.4375,177.25,145.5625,45.5,77.75,116.75,119.1875,130.0625,134.5,119.75,0.0625,3.25,20.625,31.5,26.875,21.125,9.8125,0,0,0,0,0,0,0
Ankle boot,0,0,0,0,0,0,0,0,0,0,17.1875,29.375,10.0625,9.6875,0,0,0.375,89.9375,165.5,168.25,101.25,0.0625,1.8125,54.3125,134.375,165.625,163,126.3125,54.3125,92.1875,118.875,141.125,158.375,165.1875,141.25,55.0625,92.8125,107.125,85.5625,69.875,124.6875,90.4375,0,0,0,0,0,0,0
T-shirt/top,0,7.3125,63.8125,170.875,57.4375,4.0625,0,0,108.5625,120,123.5,122.625,110.6875,0,10.25,157.5,121.25,123.4375,124.875,159.875,13.5625,0.3125,11.8125,131.5625,125.5625,128.5,43.875,0,0,10.0625,132.625,127.75,131.9375,28.6875,0,0,11.3125,133.0625,128.75,130.4375,27,0,0,7.9375,125.6875,123.9375,121.9375,24.75,0
Shirt,0,0,0.625,28.3125,133.1875,65.8125,2.1875,0.0625,7.25,33.6875,170.125,171.8125,159.125,93.625,8.6875,6.5625,13,12.0625,161.125,161.6875,155.8125,17.625,8.1875,9.25,12.125,121.8125,176.3125,169.5,17.6875,10.375,9.375,43,95.625,189,145.4375,17,13,10.5625,47.0625,111.375,164.625,48.4375,11.9375,15.9375,12.875,12.1875,5.6875,0.5625,0.625
Pullover,0,7.5,103.8125,166.125,138.4375,28.1875,0.125,0,89.25,218.3125,221.75,227.5625,179.75,0,0,123.5,185.6875,225.8125,219.4375,193.8125,0,0,168.9375,135.8125,224.6875,211.8125,181,21.9375,0,177.5,164.8125,225.4375,235,162.6875,46.5625,0,157.3125,0.9375,3.75,1.3125,118.4375,36.4375,0,98.4375,1.0625,0,0.0625,86.3125,36.625
Shirt,0,1.8125,91.1875,176.8125,65.375,0.3125,0,0,110.8125,222.9375,230.875,222.6875,95.125,0,0,154.125,222.625,214.9375,221.375,140.8125,0,0,155.8125,210.375,219.6875,186.25,167.875,0,0,159.125,217.1875,221.1875,192.0625,166.8125,0,0,190.1875,229.1875,223.1875,225.625,179.875,0,0,169.125,129.8125,145.75,125.6875,162.5,0
T-shirt/top,0,31,120.875,167.3125,132.75,40.8125,0,0,123.625,136.6875,137.375,149.4375,146.375,0,8.9375,160.1875,145.8125,147.875,170.0625,177.3125,12.5,1.4375,62.4375,154.5625,157.6875,166.5,52.125,0.0625,0,39.375,156.875,160.9375,167.6875,41.375,0,0,42.875,161.5,166.625,174.1875,41.8125,0,0,36.6875,169.25,169.25,180.1875,37.625,0
Shirt,0,7.5625,75.75,143.9375,52.0625,0.5,0,0,93.25,144.4375,138.4375,147.3125,62,0,0,143.5,174.3125,166.4375,175.5625,94.6875,0,0,168.8125,179.1875,173,178,132.5625,0,0,172.25,172.125,182,156.5625,148.75,0,0,172.6875,168.6875,179.25,157.8125,154.875,0,0,145,117.25,127.75,96.8125,130.4375,0
T-shirt/top,0,83,155.25,189.125,174.8125,93.875,0.125,34.875,124.875,123.4375,137.75,135.75,184.25,42.4375,14.375,82.4375,112.0625,119.3125,140.6875,88.875,11.4375,0,17.4375,116.6875,119.25,146,17.5,0,0,34.4375,118.3125,125.3125,141.9375,42.3125,0,0.5625,78.125,122.6875,134.375,153.75,80.75,0.125,0.3125,94.125,181.625,195.8125,190.3125,93.25,1
Pullover,0.375,73.5625,195.25,197.8125,201.4375,96.1875,0,0,175.9375,233.9375,231.375,230.875,206.125,0,0,194.875,228.5,232.875,231.375,233.6875,0,0,227.1875,198.4375,232.125,233.3125,209.8125,1.125,0.8125,211.9375,189.4375,230.6875,236.375,184.0625,17.1875,12.4375,181.625,198.4375,230.0625,235.375,145.125,33.75,16.8125,149.5625,63.1875,70.0625,71.6875,111.9375,39.9375
Coat,0,7.1875,105.3125,179.5625,171.125,43.5625,0.375,0,89.5625,218.4375,217.375,217.75,180.625,0.5,1,120.5625,221.625,212.4375,214.1875,219.625,0.5,0.0625,158.125,216.375,212.625,216.625,216.9375,26.8125,0,181.875,198.375,212.0625,225.5625,186.1875,54.875,0,207.4375,220,215.875,218.375,215,67.3125,0.25,197,117.5625,148.3125,132.3125,135.8125,66.9375
Bag,0,0,0,0,0,0,0,15.375,48,52.375,52.1875,48.75,52.75,30.875,28.6875,105.25,100.75,104.25,108.8125,108.0625,82.875,38.25,147.1875,111.9375,113.875,121.5625,120.8125,121.875,44.1875,129.3125,174.5625,174.625,159.3125,159.75,138.6875,14.375,56.125,99.375,97.9375,73,69.8125,50.5625,0,0,0,0,0,0,0
Shirt,0,0.25,95.5625,131.0625,79.5,0.375,0,0,33.375,161.4375,146,164.8125,44.75,0,0,80.6875,158.3125,165.75,201.5,106.6875,0.375,0,116.125,159.0625,173.9375,128.625,150.1875,1.8125,0,149.4375,167.25,170.25,106.4375,128.625,17.4375,0,142.5625,172.6875,171.0625,100.8125,112,22.625,0,74.3125,154.5625,175.1875,79.1875,16.1875,3.25
Trouser,0,0,62.75,186.3125,117.75,0,0,0,0,120.125,202.25,173,0,0,0,0,119.1875,177.8125,169.5,0,0,0,0,110.9375,144.875,153.625,0,0,0,0,102.875,126.3125,149.75,0,0,0,0,98.5625,105.6875,145.4375,0,0,0,0,83.125,68.625,123.875,0,0
Shirt,0.375,55.1875,157.5625,237.875,174.8125,63.1875,0.3125,0.625,186.5,224.25,230.25,223.125,216.625,3.4375,12.875,226.5,227.5,222.8125,222.875,231.6875,54,28.375,141.875,230.4375,225.8125,229.5,147.875,71.25,0.5,4.4375,230.375,226.625,228.9375,22.375,0.1875,0,60.375,228.25,229.5625,224.875,82.4375,0,0,30.4375,169.5,211.9375,183.5625,52.6875,0.0625
Sandal,0,0,0,0,0,0,0,0,0,2.3125,60.8125,84.125,72.0625,51.25,0,0,0.5,0.375,4.9375,130.25,89.9375,0.75,1.5,4.5,0.5,47.9375,150.8125,109.875,15.375,46.5,77.25,70.25,137.125,92.125,72.0625,111.0625,139.375,141.8125,138.9375,97.5,103,71,0.3125,14.5,25.125,24.75,13.125,15.8125,9.5625
Dress,0,0.125,97.375,205.75,131,11.25,0,0,46.25,219.5625,222.0625,248.4375,93.625,0,0,77.5,196.3125,240.8125,167.875,131.6875,0,0,105.875,164.375,224.75,153.375,158.75,0,0,104.875,196.1875,203.1875,217.125,150.4375,0,0,71,205.3125,160.25,193.1875,90.1875,0,0,0.625,150.375,227.0625,179.1875,1,0
T-shirt/top,0,107.125,204.6875,229.75,206.625,105.6875,0,11.8125,240.3125,235.75,242.0625,234.75,230.25,17,8.25,97.9375,150.875,148.8125,168.3125,98.6875,8.5,0,0.5,220.75,233.9375,229.875,1.9375,0,0,7.875,237.3125,235.625,232.8125,32.8125,0,0,54.9375,241.3125,238.625,234.125,72.375,0,0,58.0625,234.6875,235,231.6875,95.6875,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0.5625,15.25,88.125,93.75,13.375,54.3125,75.4375,111.9375,160.875,192.4375,215.375,209.375,162.25,58.875,110.4375,140,143.8125,138.125,138,98.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dress,0,0,80.8125,84.4375,69.25,0,0,0,0,75.8125,87.25,58.9375,0,0,0,0,70.6875,106.9375,54.8125,0,0,0,0,67.75,134.125,66.25,0,0,0,0,92.125,160.3125,61.375,0,0,0,0,111.25,140.5625,109,0,0,0,0,104.25,115.3125,142.1875,0,0
T-shirt/top,0,39.75,84.5625,92.375,86.5,41.375,0,6.25,98.5625,100.75,90.625,76.8125,90.4375,5.4375,0,22.4375,125.8125,104.6875,86.0625,16.5625,0,0,14.125,130.375,98.5,83.875,6.125,0,0,16.9375,101.125,82.8125,84.4375,12.3125,0.0625,0,25.4375,99.4375,90.375,93.6875,19.75,0,0,31.5,100.625,100.1875,90.0625,28.75,0
Coat,0,0.3125,62.75,189.3125,104.5,0.9375,0,0,22.9375,140,155.4375,139.9375,46.3125,0,0,71.0625,151.875,149.8125,130.875,109.5,0,0,83.5,147.0625,123.75,127.6875,126.0625,0,0,94.0625,125.9375,125.9375,126.625,116.3125,0,0,89.8125,146.5625,134.6875,137.5,128.5,0,0,106.75,130.25,88.25,123.3125,132,0
Bag,0,0,0,0,0,0,0,16.625,59.625,30.5,26.4375,27.8125,37.875,51.25,64.25,149.5625,162.4375,143.5,144.9375,134.6875,126.5625,98.9375,136.4375,142.375,137,130.6875,117.25,133.9375,161.875,144.0625,153.125,146.6875,142.875,128.4375,109.4375,87.125,88.625,100.625,101.125,96.5,89.0625,67.875,0,0,0,0,0,0,0
Dress,0,0.125,144.3125,165.875,154.625,0.0625,0,0,16.5625,213.9375,205.3125,216.5,29.4375,0,0,53.8125,207.0625,209.875,212.6875,68.125,0,0,86.0625,172.875,219.1875,179.5625,99.5625,0,0,2.0625,183.25,210.75,182.3125,7.625,0,0,0.75,213,207.1875,198.4375,0,0,0,15.5625,175.875,185.625,167.5625,1.5625,0
