label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,58.625,65.75,0.75,25.9375,19.4375,41.3125,99.75,100.5,123.6875,136.375,134.4375,13.5625,78.6875,99.6875,93.5,73.75,63.25,79.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankle boot,0,0,0.5,129.9375,216.25,193.125,0.0625,0,0,0.3125,170.625,236.125,213.4375,0.125,0,0,0.75,181.25,230.25,234.0625,55,0,0,1.8125,217.9375,231.5,216.8125,64.0625,0.0625,0.3125,67.25,223.625,205.375,65.6875,17.75,16.375,156.125,217.6875,227.3125,84.6875,43.3125,0,2.8125,103.25,153,152.125,1.1875,34.6875,0.6875
Bag,0.3125,133.5,178.5,187.5,181.375,174.375,65.5,11.5,210.3125,206.75,192.4375,179,132.875,100.1875,53.8125,216.6875,210.1875,207.375,192.3125,144.9375,134.5,40.6875,211.125,191.125,209.5625,194.375,172.5,139.1875,40.375,216.25,215.75,205,181.75,169.75,148.625,83.75,205.1875,225.875,205.4375,190.9375,167.5,140.5,107.5625,181.1875,207.875,205.625,196.875,183.125,103.125
Ankle boot,0,0,0,0,0,0,0,0,0,0,0.0625,34.625,56.5625,57.5625,0,0,0,18.5625,91.625,113.5625,114.1875,0.125,0.5,14.25,85.75,110.625,126.125,105.625,33.8125,43,77.625,109.6875,117.625,120.9375,126.8125,91.125,114.5625,131.8125,115.9375,113.1875,188.125,129.25,0,0,0,0,0,0,0
Pullover,0,55.4375,93.9375,111.625,98.375,62.25,0,0,87,94.3125,84.5,90,118.375,0,0,104.5,104.0625,100,108.9375,127.1875,4.1875,0,102.5625,93.3125,102.75,112.125,91.875,20.4375,0,110.125,104.25,106.1875,108.9375,114,26.6875,0,106,84.6875,86.375,83.0625,108.375,26.375,0,92.625,0.1875,0,0,56.9375,21.5
Sandal,0,0,0,0,0,0,0,0,0,0.5,18.25,45.4375,77.5625,0.375,0,0.5,46.5,28.5,111.25,67.25,27.5,0.125,72.875,48.4375,5.5625,93.3125,140.25,83.6875,87,132.625,101.625,116.6875,113.8125,107.9375,57.75,31.5,89.875,94.3125,75.5,71.5625,70.125,37.1875,0,0,0,0,0,0,0
Bag,0,0.0625,14.1875,32.125,19.9375,0,0,0,0.4375,30.4375,1.0625,31.1875,0.4375,0,0,6.875,24.5,0.375,23.3125,5.3125,0,0,61.4375,121.5625,120.25,122.75,50.625,0,0,91.25,202.5625,181.5,209.8125,80.5625,0,0,93.1875,214.9375,176.5,220.625,75,0,0,5.5625,46.5,48.875,47.375,1.25,0
Coat,0,0.375,103.6875,207.25,102.5625,0.3125,0,0.0625,35.1875,189.9375,222.0625,194.5625,31.9375,0,0.0625,147.4375,208.9375,218.8125,210.6875,142.5625,0.0625,0,207.75,212.0625,212.8125,213.5625,195.875,0,10.5,228.8125,207.875,213.3125,211.25,221.875,0,31.125,191.1875,213.75,213.875,208.8125,201.5625,2.8125,16.375,108.4375,210.875,213.6875,213.375,114.625,7.125
Shirt,0.4375,71.375,117.625,109.3125,112.75,60.5625,0.1875,1.125,124.8125,93.6875,96.3125,95,114.6875,0.375,15.3125,159.0625,104.3125,119.625,112.3125,131.3125,15.25,22.8125,176,118.625,130.625,125.5625,130.75,32.4375,35.875,157.8125,147.5625,146.625,132.625,137.9375,41.25,49.6875,139.4375,142.1875,161.375,133.875,154.25,46.6875,43,99.1875,151.375,184.75,144.75,124.375,47.3125
Ankle boot,0,0,0,0,0,0,0,0,0,0.625,81.8125,121.4375,150.0625,102.75,0,0,5.5,208.8125,227.0625,237.375,153.3125,0,0.0625,89.125,220,224,231.25,213.4375,34.4375,103.9375,213.9375,223.1875,230.1875,214.5625,150.125,174.5625,226.8125,228.9375,195.75,50.5,155.3125,80.4375,0,4.375,25.625,1.8125,0.0625,30.375,9
