label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Bag,5.875,109.6875,109.375,94.5625,94.3125,99.25,102.875,13.3125,212.1875,213.5625,191.3125,198.25,216.0625,214.625,113.625,196.4375,225.625,222.875,222.4375,223.875,195.4375,117.6875,208.5,225.6875,225.5,225.625,225.3125,210.25,96.25,205.375,226.875,226.625,227.5625,226.25,200.5625,45.6875,209.5,233.3125,229.3125,225.5,222.625,207.375,0.875,149.75,192.8125,186.875,69.375,65.5625,45.875
Coat,0.5,25.5,103.875,218.9375,140.3125,59.125,0.1875,0,153.6875,185.625,193.0625,192.3125,180.9375,0.4375,0,194.125,180.5,185.6875,184.25,192.1875,23.25,2.375,210.0625,181,187.1875,186.4375,197.1875,46.1875,17.125,213.4375,183.625,188.125,187.3125,201.75,64.0625,26.4375,189.875,188,188.9375,186.9375,204.125,79.5,24.8125,140.6875,131.625,140.75,137.0625,122.875,58.25
Pullover,0.125,29.125,176.1875,157.0625,163.875,27.3125,0,0,173.8125,198.5625,160.5,196.4375,152.0625,0,2.5625,217.625,193,71.5625,196.4375,191,0,19.5625,214.5,195.1875,192.9375,193.3125,209.0625,2.4375,27.6875,193.375,205,192.6875,196.375,210.1875,23.375,34.5625,185.75,204.6875,197.1875,198.875,202.125,38.125,25.5625,135.9375,128.375,129.375,129.625,140.375,28.8125
Coat,0,0,30.375,152.6875,33.125,1.125,0,0,1.375,61.1875,75.5,76.25,2.75,0,0,5.125,81.1875,71.5625,82.875,6.3125,0,0,9.875,74.8125,95.1875,84.625,9.75,0,0,10.5625,73.0625,97.6875,87.25,13.5,0,0,0,77.9375,103.75,81.5,0,0,0,0,80.9375,105.25,85.0625,0,0
Trouser,0,0,95.5,210.9375,163.0625,0,0,0,0,141.75,228,202.1875,0,0,0,0,149.125,188.4375,197.5625,0,0,0,0,145.3125,101.25,188.3125,0,0,0,0,125.6875,70.0625,190.9375,0,0,0,0,113.4375,90.4375,195.875,0,0,0,0,91.0625,93.5625,159.8125,0,0
Ankle boot,0,0,0,0,0,0,0,0,0,0,6,191.6875,168.125,98.875,0,0,0.25,80,222.5625,230.625,126.375,0.5625,0.375,35.8125,169.8125,234.8125,225.125,143.375,68.1875,77.3125,146.3125,208.375,211.0625,204.5625,162.9375,73.3125,131.9375,164,134.125,99.625,133.4375,100.0625,0,0,0,0,0,0,0
Dress,0,0,25.1875,125.3125,15.125,0,0,0,0,6.1875,115.25,22,0,0,0,0,23.4375,110.875,25.0625,0,0,0,0,50.625,104.3125,31.4375,0,0,0,0,48.9375,117,46.6875,0,0,0,0,56.75,116.8125,101.75,0,0,0,0,48.0625,133.125,108.4375,0,0
Ankle boot,0,0,0,0,0,0,0,0,0,0,9.8125,56.625,37.9375,56.5625,0,0,0.25,50,172,218.25,93.125,0.125,0.125,5.3125,100.75,192.375,207.8125,111.375,26.75,53.5625,111.625,154.625,174.4375,161.625,129.125,95.8125,145.8125,165,153.1875,128.0625,170.8125,133.9375,0,0,0,0,0,0,0
Bag,0,0,8.25,92.9375,2.4375,0,0,0,0.0625,44.1875,15.9375,47.1875,0,0,0,56.6875,110.5,56.75,117.5625,79.8125,0,0,83.8125,102.3125,84.875,110.25,96,0,0,98.6875,133.9375,129.6875,146.0625,111.0625,0,0,120.875,159.6875,171.4375,168.25,126.75,0,0,100.1875,160.1875,154.1875,160.5,102.625,0
Coat,0,0.0625,83.9375,186.1875,77.4375,0.125,0,0,30,206.375,201.125,195.4375,17.5625,0,0,58.0625,198.125,181,194.625,49.9375,0,0,69.4375,202.0625,185.9375,198.625,68.1875,0,0,72.5625,198.8125,193.625,196.25,74.375,0,0,38.375,183.0625,200,183.375,33.6875,0,0,0.1875,104.0625,182.375,101.9375,0.25,0
Sneaker,0,0,0,0,0,0,0,0,0,0.125,1.9375,59.5,29.8125,0.3125,0,0,0.4375,45.9375,162.4375,185.625,115.4375,0.375,3.0625,54.9375,151.5,158.0625,181.8125,141.125,48.375,104.3125,139.5625,165.0625,159.9375,151.25,142.0625,16.8125,20.25,15,16,21.0625,23.8125,23.75,0,0,0,0,0,0,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8125,85.25,120.25,21.8125,56.625,17.1875,53.375,144.5,161.3125,165.875,205.5625,143.75,67.6875,112.5625,100.5625,102.9375,82.4375,92.8125,40.6875,0.3125,3.125,5.625,2.5,1.1875,0.1875,3.875,0,0,0,0,0,0,0
Ankle boot,0,0,0.25,44.625,62.1875,13.5625,10.9375,0,0,0.5625,161.4375,200.1875,201.125,104.375,0,0,6.0625,205.3125,205.75,200.875,133.125,0.125,0,75.6875,201,200.5,195.125,168.5,0.8125,20.375,170.625,197.75,201.5625,162.8125,127,132.1875,173.0625,187.125,199.25,79.625,44.75,94,25.375,87.875,121.9375,78.0625,0.25,19.8125,44.5625
Sandal,0,0,0.625,78.375,147.0625,109.5625,36.75,0,0,0.5,142.375,213.625,128.875,0.9375,0,0,0,42.75,134.0625,106.375,1.3125,0,0,0,56.75,67.25,107.625,35.25,0,0.0625,0.6875,51.125,151.6875,202.625,54.3125,0.6875,41.25,153.875,160.8125,85.0625,198.5,54.3125,39.75,109.1875,105.9375,66.0625,37.5,153.1875,40.0625
Bag,0,0,0,0,0,0,0,35.875,60.5,45.6875,79.5,40.9375,46,44.0625,47.125,42.5625,43.9375,71,53.1875,53.6875,77.9375,61.75,66.375,72.8125,77.6875,74.625,95.25,109.1875,64,83.4375,87,92.875,105.0625,131.4375,127.375,45.3125,41.75,43.5,36.75,39.25,48.1875,32.875,0,0,0,0,0,0,0
T-shirt/top,1,21.25,46.875,61.6875,49.3125,21.0625,1.0625,13.0625,28.4375,21.875,44.4375,53.3125,25.125,12.125,0.6875,26.4375,27.3125,23.9375,50.3125,63.3125,0,0,10.125,28.5625,26.125,27.6875,12.875,0.0625,0,7.5625,30.375,28.25,27.875,13.0625,0.125,0,7.5,33.375,31.5,30.75,15.3125,0.0625,0,7.5,31.5,31.75,29.875,16.125,0.25
Sandal,0,0,0,0,0,0,0,0,0,0.4375,23.8125,24.6875,92.6875,0.4375,0,0,0.375,42.3125,133.625,84.875,32.125,0.5625,24.1875,73.75,13.625,121.9375,142.0625,89.375,23.625,126,111.4375,132.625,96.9375,79.3125,52.6875,73.5,145.3125,138.3125,93,78.1875,80.8125,43.3125,0.1875,6.125,6.8125,0.6875,0,0,0.1875
