label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Shirt,0.625,123.375,173.375,109,162.875,112.4375,0.625,1.5,228.5,227.375,226.1875,224.4375,223.1875,2.3125,34.25,243.5,231.8125,230.125,226.625,237.5625,42.75,71.0625,242.6875,232.3125,231.1875,228.4375,234.4375,79.5,101.1875,238.875,233,233.6875,230.4375,234.625,105.6875,17.75,134,232.5,235.6875,233,143.625,17.3125,0.4375,104,232.8125,236.9375,229.25,101.125,0.4375
Coat,0,0.25,79.6875,123.3125,70.375,0.25,0,0,40.25,88.625,84.5,72.5,32.625,0,0,82.8125,127.25,83.375,115.375,62,0,0,116.875,125.875,94.75,118.4375,102.375,0,0,147.4375,120.4375,108.5,84.4375,129.875,0,0,124.0625,127.5,118.9375,93.3125,103.25,0,0,84.3125,60.3125,72.125,48,73.75,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.25,8.625,105.1875,121.6875,71.625,19.1875,83.75,105.0625,172.375,130.9375,150.5,200.0625,136.375,65.9375,129.25,143.4375,126.0625,92.625,105.75,69.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coat,0,0.3125,82.25,209.25,128.9375,5.25,0,0,0.1875,218.5,220.6875,229.375,60.5625,0,0,18.1875,232.1875,227.0625,231.5,106.5625,0,0,52.3125,223.8125,229,209.125,129.1875,0,0,67,233,228.0625,229.875,150.8125,0,0,0.375,182.6875,228.5,232.25,35.5,0,0,0.25,169.875,211.875,191.1875,47.8125,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0.125,11.375,36.8125,0.1875,0,0,0,0.25,83.5625,139.1875,72.4375,0.1875,0.4375,12.375,87.125,139.375,130.6875,98.5,16.875,82.0625,118.875,120.625,125.1875,147.1875,121.5,12.5625,13.875,16.9375,19.4375,24.0625,22.6875,12.5625,0,0,0,0,0,0,0
Coat,0,0.1875,122.0625,180.25,184.0625,4.4375,0,0.6875,130.8125,226.125,184.4375,225.8125,190.375,5.3125,0.375,211.625,221.25,174.375,222.75,223.5,64.125,27.625,231.75,219.625,170.0625,222.5625,223.6875,106.625,59.5625,228.125,222,172.5,222.25,226.125,127.625,85.8125,228.3125,224.125,178.875,224.6875,231.125,154.875,70.75,145.5,197.6875,164.3125,200.75,166.0625,143.125
Shirt,0,11.25,83.3125,197.4375,94.625,16.25,0,0,97,159.6875,171.9375,166.875,112.6875,0,0,92.0625,168.125,169.75,174.75,102.9375,0,0,0.1875,151.8125,173.5,167.875,0.6875,0,0,0.375,156.8125,176.625,164.1875,4.9375,0,0,0.9375,149.5625,165.8125,167,10.5,0,0,0.5,73.25,125.4375,77.1875,0.3125,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.375,11.75,64.125,81,25.0625,51.0625,32.8125,69.0625,118.6875,159.9375,175.3125,169.3125,126.75,79.5,121.875,135.875,158.1875,153.375,143.625,109.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dress,0,0.125,78.375,170.5625,84.1875,6.25,0,0,13.625,184.5625,183,179.9375,42.6875,0,0,35.6875,178.625,179.875,160.9375,69.875,0,0,39.625,183.6875,200.25,165.8125,92.625,0,0,45.375,181.4375,195.875,183.5,100.8125,0,0,8.9375,121.375,195.75,158.125,18.0625,0,0,0.75,107.75,195.5625,143.9375,0.8125,0
Bag,0,0.0625,79.125,77,103.875,44.9375,0,0.1875,61.1875,144.75,152.5625,120.6875,153.75,10,0,76,149.75,126.5625,124.5625,119.8125,37.6875,0,124.5,168.125,146.125,134.875,128.125,47.625,8.4375,60.125,89.875,166.8125,134.875,48.9375,5.5625,0,0.0625,0.625,158.8125,130.5,0.5,0,0,0,0.1875,48.8125,118.125,0.5,0
