label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Sandal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1875,15,0,0,0,0,50.8125,91.6875,93.125,107.625,72.3125,51.5625,49.9375,23.5,38.9375,43.5625,47.4375,45.5,46.9375,42.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandal,0,0,0,0.125,49.625,65.5,37.9375,0,0,0,0.0625,38.4375,76.0625,58.8125,0,0,0.125,0.1875,4.0625,102,40.375,0,0,0,0.0625,55.9375,69.4375,18.375,0,0.0625,0,8.6875,54.1875,49.8125,0.1875,0.375,25.8125,2.4375,64.125,5.5,44.8125,0.125,32,61.625,67.75,26.875,0.1875,35.4375,0.125
Coat,0,0.375,76.9375,189.125,118.1875,0.25,0,0,30.25,200,229.5625,213.8125,54.6875,0,0,103.125,174.1875,165.5,175.875,156.25,0,0,118.9375,148.5,145.875,147,166,0,0,135.1875,144.4375,147.75,147.375,178.9375,0,0,109.5,154.5,150.875,148.75,166.8125,0,0,64,159,179.6875,174.75,111.875,0
Dress,0,0,52.375,81.75,83.8125,0.75,0,0,0,84.1875,203.625,130.125,0.125,0,0,0,106.8125,239.75,153.4375,0.5,0,0,0,124.3125,239.4375,180.6875,0,0,0,0,156.125,238.625,208.0625,0,0,0,0,195.4375,239.3125,240.125,8.6875,0,0,0,190.375,216.4375,204.0625,36.875,0
Sandal,0,0,0,0.75,0.0625,33.25,0.0625,0,0,0.25,54.9375,63.625,75.625,33.9375,0,0,0,1.1875,0.75,111.1875,131.1875,0,0,0,0,1,158.9375,139.4375,0,1.25,0.1875,0.375,104.375,50.6875,103.25,0.875,80.3125,38.3125,53.5625,58.5,0.875,82.625,64.375,104.25,119.25,85.8125,0.125,0.8125,49.8125
Trouser,0,0,110.5,133.5,101.125,0,0,0,0,174.8125,189.1875,175.9375,0,0,0,0,160.4375,181.125,165.5,0,0,0,0,132.25,153.8125,141.3125,0,0,0,0,126.5,142.75,137.4375,0,0,0,0,135.75,145.5,154.25,0,0,0,0,125.75,126,147.5625,0,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,7.875,89.25,45.75,6.9375,81.3125,57.3125,94.625,144.1875,140.5625,147.125,149.5,131.3125,76.8125,127.3125,140.4375,138.0625,154.3125,158.25,118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandal,0,0,0,0,0,0,0,0,0,0,4.125,3.0625,0,1.8125,0.25,0.125,10.875,72.875,84.75,13.375,83.1875,41.375,88.0625,135,131.9375,160.5625,156.5625,108.5625,43.8125,80.8125,90.5625,115.1875,116.875,124.875,88,0.0625,4.8125,11.5625,8.9375,10,8.1875,5.9375,0,0,0,0,0,0,0
T-shirt/top,0,14.6875,40.125,149.875,48.125,23.4375,0,11.8125,94.75,49.375,117.3125,64.375,93.5,20.6875,24.625,119.9375,125.3125,108.6875,124.4375,115,28,0,20.875,134.6875,101.8125,117.25,29.25,0.25,0,21.875,135.5,111.875,127.5,14.5,0,0,22.0625,143.8125,125.8125,131.625,21.375,0,0,22.75,142.0625,136.25,142.375,18.5625,0
Pullover,0,0.1875,38.5,58,37.8125,0,0,0,18.5625,94.625,84.5,59.4375,12.375,0,0,20.1875,163.6875,85.5,37.625,20.5,0,0,23.875,41.5,25.5625,27.5,29.75,0,0,25.0625,48.125,25.875,73.625,27.5625,0,0,25.4375,51.5,93.8125,101.875,34.9375,0,0,30.625,53.0625,34.3125,28.5,36.3125,0
Pullover,0.625,39.75,57.4375,73.25,55.8125,19.125,0.0625,13,112.5625,51.25,41.375,40.3125,34.3125,11.1875,65.1875,139.9375,84.875,59.9375,32.9375,61.8125,46.25,75.5625,151.4375,78.5625,54.125,16,71.3125,55.125,86.5625,131.8125,87.5625,53.6875,38.125,67,51.875,92.625,141.1875,81.75,59.75,34.25,54.5625,76.8125,49.75,72.25,54.375,36.6875,22.125,43.875,21.6875
Bag,0,0,0,0,0,0,0,45.25,102.0625,105.5625,109.8125,103.4375,97.8125,58.625,145,202.5,198.9375,192.4375,196.3125,202.9375,167.25,148.9375,206.625,206.9375,205.5625,206.625,208.75,179.6875,108.8125,212.1875,207.125,207.4375,207.25,209.0625,164.75,77.1875,139.25,135.5,130.375,131.375,133.625,87.5625,0,0,0,0,0,0,0
