label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Ankle boot,0,0,0,0,0,0,0,0,0,0.125,117.25,189.8125,156.75,116.9375,0,0,1.3125,173.375,224.625,225.8125,139.875,0,0,4.375,177.3125,221.25,220.0625,28.1875,33.9375,50.25,116.4375,204.0625,199.3125,193.6875,54.75,131.5625,157.8125,174.0625,191.0625,191.4375,181.4375,74.4375,1.6875,29.1875,36.1875,17.125,23.4375,29.625,2.1875
Bag,0,0,2.4375,78,7.125,0,0,0,0,32.8125,9,43.125,0,0,0.1875,0.8125,50.875,0.25,53.375,0.375,0.0625,29.25,130.125,120.4375,114.5625,130,130.75,56.5,25.25,168.1875,153.75,148.125,150.3125,183.125,59.0625,5.0625,163.375,175.375,164.0625,177.8125,184.4375,43,0,141.125,183,174.3125,180.6875,179.4375,14.1875
Trouser,0,0,165.9375,201.375,186.4375,0,0,0,0,176.375,216.3125,196.5,0,0,0,0,155.4375,183.125,167.4375,0,0,0,0,111.9375,142.875,119.125,0,0,0,0,105.1875,126.8125,110.6875,0,0,0,0,103.875,137,114.6875,0,0,0,0,68.8125,115.8125,97.8125,0,0
Bag,0,0,0,0,0,0,0,9.5,30.25,84.5625,82.5,71.8125,41.75,12.6875,46.625,56.75,59.9375,69.9375,72.25,48.25,31.625,83.4375,92.0625,99.25,96.875,93.4375,51.1875,0.5,78.125,122,125.125,109.9375,120.4375,86,0,46.375,68.3125,59.8125,27.3125,26.5,21.0625,0,0,0,0,0,0,0,0
Shirt,0,51.25,148.375,128.25,138.375,89.8125,0,0,153.75,213.9375,210.5,204.875,214.8125,2.0625,0,181.75,207.375,210.375,204.875,218.6875,19.0625,0,25.625,209.0625,209.75,208.4375,80.8125,0.6875,0,1.4375,214.125,208,207.1875,68.9375,0,0,31.375,213.5,211.4375,208.25,97.4375,0.125,0,39.75,175.875,183.1875,180.375,78.9375,0.5
Shirt,0,4.8125,155.8125,104.125,134,37.4375,0,0,5.125,223.25,210.5,217.375,54.1875,0,0,15.8125,220.375,218.8125,221,58.4375,0,0,32.8125,223.125,221.9375,222.8125,70.1875,0,0,65.375,223.1875,223.375,224.625,110.625,0,0,107.25,224.125,225.1875,227.625,137.375,0,0,108.25,205.3125,201.4375,180.25,122.6875,0
Trouser,0,0,76.3125,133.625,85.9375,0,0,0,0,68.625,158.75,86.25,0,0,0,0,52.9375,111.625,73.75,0,0,0,0,40.8125,71.3125,60.6875,0,0,0,0,69.6875,31.5625,91.875,0,0,0,0,82.75,10.625,105.4375,0,0,0,0,71,3.5625,79.4375,0,0
Bag,0,0,0,0,0,0,0,0.125,119.5625,128.9375,124.375,125.25,127.8125,98,5.1875,204,206.875,208.1875,209.25,211.5625,178.5,0.375,205.3125,207.5625,208.4375,210.875,213.75,179.8125,0.0625,207,208.25,210.1875,212.375,214.6875,179.8125,3.6875,193.875,190.4375,182.0625,183.75,190,160.3125,0,0,0,0,0,0,0
Trouser,0,0,99.8125,201.0625,64.625,0,0,0,0,101.125,200.6875,79.375,0,0,0,0,90.1875,191.4375,95.5,0,0,0,0,108.4375,180.0625,71.875,0,0,0,0,115.5625,107.9375,72.125,0,0,0,0,83.625,70.3125,79.5,0,0,0,0,38.75,43.25,61.8125,0,0
T-shirt/top,0.0625,30.3125,102.4375,154.8125,126.5,52.5625,0.125,0.4375,102.6875,77.5625,81.375,68.5,97,19.1875,7.6875,73.875,67.25,69,60.375,88.3125,26.9375,0,27.0625,101.6875,78.1875,84.75,53.25,0.1875,0,28.9375,114.1875,91.3125,78.875,51.5625,0,0,24.25,101.8125,83.8125,75.5625,47.25,0,0,25.5625,93.4375,82.3125,72.5,36.1875,0.0625
