label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49
Sneaker,0,0,0,0,0,0,0,0,0,0.4375,0.0625,0,0,0,0.25,0.4375,1.875,85.875,134.875,95.5,121.5625,69.0625,109,142.9375,172.9375,183.875,191.9375,125.4375,63.25,129.125,137.3125,126.75,120.25,120.875,92.4375,0.125,3.5,20.5,24.375,24.375,20.125,6.9375,0,0,0,0,0,0,0
Trouser,0,0,108.4375,161.1875,111.375,0,0,0,0,86.0625,155.8125,89.4375,0,0,0,0,88.3125,117.5625,164.25,0,0,0,0,61.9375,78.4375,82.5625,0,0,0,0,68.75,31.5625,81.25,0,0,0,0,86.625,33.3125,126.5,0,0,0,0,85.4375,32.75,117.25,0,0
Sneaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,48.125,84.5,0.3125,53,16.5625,62.8125,123.875,190.875,218.9375,181,144.9375,114.9375,155.3125,165.3125,160.4375,147.125,100.3125,68.4375,0.8125,9.1875,10.1875,9.0625,9.5,13.5,2.5625,0,0,0,0,0,0,0
Sandal,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,4.6875,0.25,0.6875,0.5,1.125,94.4375,138.4375,49.3125,16.3125,57.875,44.8125,0.5625,110.375,149.5625,101.9375,28.0625,101.5625,103.25,84.75,173.875,140,134.6875,10,37.375,25.4375,10.25,0.375,22.625,16.125,0,0,0,0,0,0,0
Pullover,0,0.25,83.3125,158.5625,128.75,1,0,0.125,67.4375,174.5625,189.75,166.125,108.8125,0.6875,0.3125,117.0625,180.6875,179.25,183.0625,177.5,4.75,3.5,176.5,158.6875,176.625,164.1875,183.5,45.875,39,175.375,178.4375,175.3125,166,178.0625,97.25,83.8125,185.3125,172.75,174.875,183.75,181.375,138.6875,89.0625,131.6875,152.9375,156.3125,157.8125,125.1875,120.5
Bag,0,0,18.5,44.9375,31.875,0.375,0,0,26.5,40.375,0.3125,30.625,26.125,0,0,70.25,0.5625,0,0.5625,66,0,0,88.4375,67.8125,57.375,68.625,85.5625,0,0,97.25,138.9375,149.9375,146.6875,117.375,0,0,101.375,133.625,152.1875,142.5625,126.125,0,0,54.5,82.0625,88.75,104.75,82.375,0
Bag,0,0,0.625,71.125,43.9375,0.5625,0,0.125,1,39.75,35.125,67.6875,1.5,0.5,14.3125,132.6875,149.5,140.25,155.1875,131.3125,52.1875,66.9375,199,177.6875,176.625,190.1875,199.4375,185.5625,78.9375,217.25,214.6875,216.5625,218.25,220.75,162.8125,44.75,205.625,221.3125,219.5,220.375,221.4375,117.1875,31.5,132.875,149.5,114.3125,115.5,110.75,50.1875
Ankle boot,0,0,0.625,120.625,143.5,163.8125,48.75,0,0,1.4375,155.875,178.4375,174.5625,46.25,0,0,19.1875,177.5,172,136.8125,59.75,0.0625,0.25,59.125,137.625,145.9375,130.4375,127.5625,0,7.75,112.75,157.625,179.5,157.1875,158.4375,22.8125,73.0625,139,136.0625,113.3125,123.625,134.625,96.5625,108.375,129.6875,91.375,0.625,121,107.125
T-shirt/top,0.4375,66.625,106.8125,121.1875,100.25,65.1875,1.5625,6,102.25,112.0625,103.4375,106,103.0625,5.25,0,31.3125,108.625,95.5625,111.3125,34.4375,0,0,4.8125,106.5,84.4375,119.125,3.0625,0,0,15.0625,110,91.5,109.0625,32.0625,0,0,39.5625,114.125,106.0625,108.9375,53.1875,0,0,46.75,116.375,113.25,113.6875,57.625,0
Ankle boot,0,0,0,0,0,0,0,0,0,0,0.5625,41.0625,11.6875,47.4375,0,0,0.125,54.375,233.1875,234.375,138,0.6875,0.3125,70.25,212.8125,225.1875,222.1875,174.9375,122,203.25,226.5,231.9375,230.9375,227.125,197.8125,61.375,112.8125,143.9375,113.625,75.5,128.6875,111.875,0,0,0,0,0,0,0
